Name,Location,Rank Info
Calvin College,"Grand Rapids, MI",#1 in Regional Colleges Midwest
Carroll College,"Helena, MT",#1 in Regional Colleges West
Cooper Union,"New York, NY",#1 in Regional Colleges North
Creighton University,"Omaha, NE",#1 in Regional Universities Midwest
Elon University,"Elon, NC",#1 in Regional Universities South
High Point University,"High Point, NC",#1 in Regional Colleges South
Princeton University,"Princeton, NJ",#1 in National Universities
Providence College,"Providence, RI",#1 in Regional Universities North
Trinity University,"San Antonio, TX",#1 in Regional Universities West
Williams College,"Williamstown, MA",#1 in National Liberal Arts Colleges
Amherst College,"Amherst, MA",#2 in National Liberal Arts Colleges
Bentley University,"Waltham, MA",#2 in Regional Universities North
Butler University,"Indianapolis, IN",#2 in Regional Universities Midwest
Flagler College,"St. Augustine, FL",#2 in Regional Colleges South
Harvard University,"Cambridge, MA",#2 in National Universities
Rollins College,"Winter Park, FL",#2 in Regional Universities South
Santa Clara University,"Santa Clara, CA",#2 in Regional Universities West
Taylor University,"Upland, IN",#2 in Regional Colleges Midwest
Texas Lutheran University,"Seguin, TX",#2 in Regional Colleges West
United States Coast Guard Academy,"New London, CT",#2 in Regional Colleges North
Augustana University,"Sioux Falls, SD",#3 in Regional Colleges Midwest
Bowdoin College,"Brunswick, ME",#3 in National Liberal Arts Colleges
California State University--Maritime Academy,"Vallejo, CA",#3 in Regional Colleges West
Drake University,"Des Moines, IA",#3 in Regional Universities Midwest
Fairfield University,"Fairfield, CT",#3 in Regional Universities North
Loyola Marymount University,"Los Angeles, CA",#3 in Regional Universities West
Montana Tech of the University of Montana,"Butte, MT",#3 in Regional Colleges West
Oklahoma Baptist University,"Shawnee, OK",#3 in Regional Colleges West
Samford University,"Birmingham, AL",#3 in Regional Universities South
Swarthmore College,"Swarthmore, PA",#3 in National Liberal Arts Colleges
United States Merchant Marine Academy,"Kings Point, NY",#3 in Regional Colleges North
University of Chicago,"Chicago, IL",#3 in National Universities
University of the Ozarks,"Clarksville, AR",#3 in Regional Colleges South
Wellesley College,"Wellesley, MA",#3 in National Liberal Arts Colleges
Yale University,"New Haven, CT",#3 in National Universities
Catawba College,"Salisbury, NC",#4 in Regional Colleges South
The Citadel,"Charleston, SC",#4 in Regional Universities South
